type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,diff_temperature_air_process,power_W,wear_x_torque_minNm
L,302.5,311.5,1493,35.1,131,9.0,5487.8,4598.1
M,300.5,311.3,1468,41.1,34,10.800000000000011,6318.2,1397.4
L,303.8,312.5,1368,52.6,123,8.699999999999989,7535.3,6469.8
L,297.2,308.5,1574,35.8,95,11.300000000000011,5900.9,3400.9999999999995
M,299.1,310.3,1441,43.9,94,11.199999999999989,6624.6,4126.599999999999
L,297.6,309.4,1958,22.1,108,11.799999999999955,4531.4,2386.8
H,301.1,311.3,2207,16.6,43,10.199999999999989,3836.5,713.8000000000001
M,303.6,312.8,1825,25.2,29,9.199999999999989,4816.1,730.8
H,300.5,310.9,1447,46.5,137,10.399999999999977,7046.1,6370.5
L,299.5,310.0,1481,43.1,90,10.5,6684.4,3879.0
L,300.7,312.4,1470,38.6,56,11.699999999999989,5942.0,2161.6
M,296.1,307.1,1433,38.5,14,11.0,5777.4,539.0
L,300.5,309.7,1560,30.2,139,9.199999999999989,4933.6,4197.8
L,302.9,312.3,1530,34.9,185,9.400000000000034,5591.7,6456.5
L,302.0,310.6,1358,53.1,194,8.600000000000023,7551.3,10301.4
L,298.8,309.7,1336,50.3,44,10.899999999999977,7037.3,2213.2
M,298.3,307.7,1602,33.4,106,9.399999999999977,5603.2,3540.3999999999996
M,298.4,308.7,1584,31.7,117,10.300000000000011,5258.3,3708.9
H,300.9,310.4,1457,43.8,69,9.5,6682.9,3022.2
M,298.9,310.1,1655,31.5,172,11.200000000000045,5459.3,5418.0
L,297.8,309.2,1683,30.9,163,11.399999999999977,5445.9,5036.7
M,301.2,310.4,1697,30.0,120,9.199999999999989,5331.3,3600.0
L,297.4,308.6,1635,30.5,159,11.200000000000045,5222.1,4849.5
L,297.4,308.3,1412,42.0,111,10.900000000000034,6210.3,4662.0
L,300.7,311.9,1476,42.0,196,11.199999999999989,6491.8,8232.0
L,300.2,309.5,1495,32.6,49,9.300000000000011,5103.7,1597.4
M,303.8,312.6,1527,41.9,159,8.800000000000011,6700.1,6662.099999999999
M,301.4,311.0,1234,55.8,152,9.600000000000023,7210.7,8481.6
L,299.1,309.0,1450,43.0,40,9.899999999999977,6529.3,1720.0
L,300.6,310.0,1438,53.8,103,9.399999999999977,8101.6,5541.4
L,299.6,309.2,1602,37.3,31,9.599999999999966,6257.5,1156.3
L,299.1,308.4,1543,37.9,130,9.299999999999955,6124.0,4927.0
L,303.5,313.0,1393,51.6,80,9.5,7527.1,4128.0
M,299.9,309.5,1372,56.2,133,9.600000000000023,8074.6,7474.6
M,300.6,310.6,1427,52.8,75,10.0,7890.2,3960.0
M,296.6,307.4,1790,25.8,72,10.799999999999955,4836.2,1857.6000000000001
L,298.3,309.1,1472,40.1,31,10.800000000000011,6181.3,1243.1000000000001
M,301.7,310.5,1724,33.0,171,8.800000000000011,5957.7,5643.0
L,303.8,312.5,1372,45.7,180,8.699999999999989,6566.0,8226.0
L,297.8,308.5,1561,46.3,194,10.699999999999989,7568.5,8982.199999999999
L,300.7,310.5,1448,38.2,218,9.800000000000011,5792.4,8327.6
L,299.9,310.5,1539,32.8,213,10.600000000000023,5286.2,6986.4
H,298.7,309.6,1755,26.9,73,10.900000000000034,4943.8,1963.6999999999998
M,301.2,310.3,1379,43.2,56,9.100000000000023,6238.4,2419.2000000000003
L,300.1,311.4,1660,31.4,38,11.299999999999955,5458.4,1193.2
L,298.3,309.1,1403,45.1,138,10.800000000000011,6626.2,6223.8
M,298.1,308.7,1527,43.0,56,10.599999999999966,6876.0,2408.0
L,300.4,311.8,1320,57.9,168,11.400000000000034,8003.5,9727.199999999999
L,300.9,310.8,1490,38.1,125,9.900000000000034,5944.8,4762.5
H,298.5,307.9,1260,54.2,141,9.399999999999977,7151.5,7642.200000000001
L,300.1,310.5,1627,29.2,95,10.399999999999977,4975.1,2774.0
H,297.7,308.8,1469,43.7,96,11.100000000000023,6722.5,4195.200000000001
L,297.4,308.8,1538,41.2,126,11.400000000000034,6635.6,5191.200000000001
L,297.8,308.8,1579,32.9,70,11.0,5440.1,2303.0
H,302.1,311.0,1729,26.1,210,8.899999999999977,4725.7,5481.0
L,303.8,313.1,1394,45.4,36,9.300000000000011,6627.5,1634.3999999999999
M,298.7,309.8,1343,53.6,134,11.100000000000023,7538.2,7182.400000000001
M,297.8,307.8,1622,32.1,18,10.0,5452.4,577.8000000000001
L,300.2,309.7,1771,27.1,104,9.5,5025.9,2818.4
L,303.5,311.6,1577,38.1,112,8.100000000000023,6292.0,4267.2
M,299.8,309.1,1268,58.0,90,9.300000000000011,7701.5,5220.0
L,303.5,312.7,1694,27.3,40,9.199999999999989,4842.9,1092.0
L,297.9,309.7,2194,16.8,27,11.800000000000011,3859.9,453.6
M,303.1,311.0,1510,47.6,16,7.899999999999977,7526.8,761.6
L,297.3,308.5,1398,60.4,12,11.199999999999989,8842.5,724.8
L,297.1,308.4,1583,31.9,2,11.299999999999955,5288.1,63.8
M,300.4,309.8,1435,43.6,203,9.400000000000034,6551.9,8850.800000000001
L,298.9,310.0,1422,43.6,78,11.100000000000023,6492.5,3400.8
H,299.9,310.3,1535,43.9,154,10.400000000000034,7056.7,6760.599999999999
L,301.4,311.1,1494,41.9,142,9.700000000000045,6555.3,5949.8
L,298.4,309.3,1806,27.6,64,10.900000000000034,5219.8,1766.4
M,303.7,312.9,1444,52.7,46,9.199999999999989,7969.0,2424.2000000000003
M,299.6,310.9,1630,29.8,206,11.299999999999955,5086.7,6138.8
L,297.1,308.6,1442,37.1,59,11.5,5602.3,2188.9
H,298.9,309.6,1546,35.3,190,10.700000000000045,5715.0,6706.999999999999
M,300.4,311.7,1508,45.4,164,11.300000000000011,7169.4,7445.599999999999
H,300.7,310.6,1631,32.6,43,9.900000000000034,5568.0,1401.8
L,299.8,309.0,1614,30.8,100,9.199999999999989,5205.7,3080.0
L,300.7,310.6,1616,29.6,47,9.900000000000034,5009.1,1391.2
L,297.4,308.9,1708,28.8,174,11.5,5151.2,5011.2
L,303.8,313.1,1458,42.2,25,9.300000000000011,6443.2,1055.0
L,297.9,309.9,1542,33.8,33,12.0,5458.0,1115.3999999999999
M,298.0,307.6,1459,44.4,163,9.600000000000023,6783.7,7237.2
M,302.9,311.0,1437,49.9,55,8.100000000000023,7509.1,2744.5
M,302.5,311.9,1340,59.4,60,9.399999999999977,8335.3,3564.0
M,300.1,311.4,1390,52.1,94,11.299999999999955,7583.7,4897.400000000001
M,299.1,310.0,1437,41.1,192,10.899999999999977,6184.8,7891.200000000001
H,302.1,310.1,1844,24.6,171,8.0,4750.3,4206.6
M,302.2,311.3,1375,47.0,98,9.100000000000023,6767.5,4606.0
L,300.7,310.6,1654,34.2,89,9.900000000000034,5923.7,3043.8
M,298.9,310.4,1533,44.4,24,11.5,7127.8,1065.6
L,295.9,306.7,1547,40.9,107,10.800000000000011,6625.9,4376.3
L,301.5,311.1,1458,41.4,123,9.600000000000023,6321.0,5092.2
L,302.4,310.4,1666,29.7,125,8.0,5181.6,3712.5
M,297.5,308.5,1496,42.2,22,11.0,6611.1,928.4000000000001
L,302.2,311.2,1451,41.8,66,9.0,6351.4,2758.7999999999997
M,298.0,307.7,1487,41.3,160,9.699999999999989,6431.2,6608.0
H,302.8,312.3,1336,57.5,187,9.5,8044.6,10752.5
M,302.5,312.1,1454,47.6,37,9.600000000000023,7247.7,1761.2
M,300.7,309.5,1470,48.7,21,8.800000000000011,7496.8,1022.7
M,298.9,308.7,1772,28.4,177,9.800000000000011,5270.0,5026.8
L,297.9,308.5,1305,47.2,155,10.600000000000023,6450.3,7316.0
L,303.7,312.4,1348,51.0,152,8.699999999999989,7199.3,7752.0
L,301.6,310.6,1478,36.6,218,9.0,5664.8,7978.8
M,302.3,311.7,1640,31.5,199,9.399999999999977,5409.8,6268.5
M,298.3,309.4,1595,29.0,103,11.099999999999966,4843.8,2987.0
L,299.1,310.1,1367,45.6,44,11.0,6527.7,2006.4
L,297.2,308.3,1569,31.2,63,11.100000000000023,5126.3,1965.6
H,300.9,311.0,1853,23.6,122,10.100000000000023,4579.5,2879.2000000000003
L,299.9,310.3,1268,53.3,146,10.400000000000034,7077.4,7781.799999999999
L,297.0,308.1,1355,43.7,217,11.100000000000023,6200.8,9482.900000000001
M,301.8,310.8,1691,33.4,62,9.0,5914.5,2070.7999999999997
L,298.2,307.8,1627,31.5,64,9.600000000000023,5366.9,2016.0
M,298.0,309.0,1393,55.9,79,11.0,8154.4,4416.099999999999
M,301.4,310.7,1692,32.3,5,9.300000000000011,5723.1,161.5
L,298.0,307.8,1266,60.5,81,9.800000000000011,8020.8,4900.5
M,296.7,307.4,1533,32.5,182,10.699999999999989,5217.4,5915.0
L,296.8,307.8,1373,42.9,74,11.0,6168.2,3174.6
L,297.6,309.5,2001,20.5,220,11.899999999999977,4295.7,4510.0
L,298.0,308.5,1461,48.0,68,10.5,7343.8,3264.0
L,300.5,310.6,1499,45.2,8,10.100000000000023,7095.3,361.6
L,298.3,308.8,1767,27.3,168,10.5,5051.6,4586.400000000001
L,303.7,312.7,1540,44.8,196,9.0,7224.8,8780.8
L,299.1,310.4,1657,31.0,129,11.299999999999955,5379.1,3999.0
M,297.1,308.4,1588,33.4,204,11.299999999999955,5554.3,6813.599999999999
L,298.2,307.7,1503,38.3,87,9.5,6028.2,3332.1
M,300.5,309.9,1994,19.8,189,9.399999999999977,4134.5,3742.2000000000003
L,301.3,310.7,1594,34.1,172,9.399999999999977,5692.1,5865.2
M,300.7,310.6,2006,19.1,102,9.900000000000034,4012.3,1948.2
L,299.8,311.3,1727,30.0,24,11.5,5425.5,720.0
L,300.8,311.9,1486,45.1,30,11.099999999999966,7018.2,1353.0
L,299.2,309.0,1615,33.7,193,9.800000000000011,5699.4,6504.1
H,300.0,309.7,1529,42.4,107,9.699999999999989,6788.9,4536.8
L,300.7,310.8,1754,27.7,84,10.100000000000023,5087.9,2326.7999999999997
L,298.4,309.2,1583,35.4,112,10.800000000000011,5868.3,3964.7999999999997
L,298.9,308.5,1742,34.5,117,9.600000000000023,6293.6,4036.5
H,298.4,308.5,1398,47.1,122,10.100000000000023,6895.4,5746.2
L,301.8,310.8,1736,26.5,56,9.0,4817.5,1484.0
M,297.1,308.6,1717,31.3,61,11.5,5627.9,1909.3
H,298.3,309.1,1430,40.9,162,10.800000000000011,6124.7,6625.8
L,300.9,310.5,1570,40.1,79,9.600000000000023,6592.8,3167.9
M,302.3,311.7,1540,28.9,149,9.399999999999977,4660.7,4306.099999999999
L,302.1,311.5,1533,39.4,26,9.399999999999977,6325.1,1024.3999999999999
L,300.1,309.3,1570,36.8,189,9.199999999999989,6050.3,6955.2
L,298.3,309.0,1339,58.8,35,10.699999999999989,8244.9,2058.0
L,302.6,311.0,1610,39.2,152,8.399999999999977,6609.1,5958.400000000001
L,303.7,312.5,1670,26.1,139,8.800000000000011,4564.4,3627.9
L,298.6,309.8,1469,42.8,205,11.199999999999989,6584.1,8774.0
M,300.7,309.5,1838,24.9,66,8.800000000000011,4792.6,1643.3999999999999
M,300.0,310.2,1443,58.7,68,10.199999999999989,8870.2,3991.6000000000004
L,296.2,307.2,1382,52.0,201,11.0,7525.6,10452.0
L,298.6,308.2,1705,26.3,177,9.599999999999966,4695.8,4655.1
L,300.4,310.0,1282,66.1,40,9.600000000000023,8874.0,2644.0
M,302.3,311.2,1454,43.8,112,8.899999999999977,6669.1,4905.599999999999
L,299.9,309.5,1779,26.1,169,9.600000000000023,4862.3,4410.900000000001
L,301.8,311.2,1840,26.6,202,9.399999999999977,5125.4,5373.200000000001
M,301.4,311.2,1727,26.5,43,9.800000000000011,4792.6,1139.5
L,301.3,310.5,1406,47.1,83,9.199999999999989,6934.8,3909.3
M,300.8,311.9,1621,28.3,211,11.099999999999966,4803.9,5971.3
H,304.1,313.2,1590,43.4,52,9.099999999999966,7226.3,2256.7999999999997
L,298.7,309.9,1404,47.1,64,11.199999999999989,6924.9,3014.4
L,297.5,308.9,1596,30.7,5,11.399999999999977,5131.0,153.5
M,298.9,310.5,1525,38.5,27,11.600000000000023,6148.4,1039.5
M,300.6,309.4,1521,37.2,90,8.799999999999955,5925.2,3348.0000000000005
L,300.7,310.2,1387,50.6,83,9.5,7349.5,4199.8
M,297.6,308.8,1416,45.9,101,11.199999999999989,6806.2,4635.9
M,298.6,309.1,1339,51.1,34,10.5,7165.2,1737.4
L,298.0,309.5,1496,45.8,46,11.5,7175.1,2106.7999999999997
H,302.2,311.1,1476,39.6,96,8.900000000000034,6120.8,3801.6000000000004
M,297.5,308.0,1430,44.5,178,10.5,6663.8,7921.0
L,298.9,310.4,1546,37.7,159,11.5,6103.5,5994.3
M,296.4,307.3,2077,19.1,80,10.900000000000034,4154.3,1528.0
M,302.2,311.4,1642,32.1,42,9.199999999999989,5519.6,1348.2
M,302.9,312.3,1339,52.1,145,9.400000000000034,7305.4,7554.5
L,302.3,311.2,1786,24.3,81,8.899999999999977,4544.8,1968.3
M,298.5,308.1,1501,39.2,127,9.600000000000023,6161.6,4978.400000000001
L,297.4,308.8,1447,58.1,129,11.400000000000034,8803.9,7494.900000000001
L,298.2,308.0,1658,30.0,3,9.800000000000011,5208.8,90.0
L,303.9,313.2,1540,44.4,119,9.300000000000011,7160.3,5283.599999999999
L,302.4,310.1,1429,43.7,104,7.7000000000000455,6539.5,4544.8
L,301.5,310.9,1318,50.6,11,9.399999999999977,6983.8,556.6
M,303.4,311.8,2133,18.3,207,8.400000000000034,4087.6,3788.1000000000004
L,296.8,308.2,1361,53.8,193,11.399999999999977,7667.8,10383.4
L,300.0,309.6,1364,45.9,16,9.600000000000023,6556.3,734.4
L,303.0,312.7,1551,41.8,111,9.699999999999989,6789.2,4639.799999999999
M,300.7,310.2,1373,44.1,28,9.5,6340.7,1234.8
L,302.2,310.8,2203,16.6,47,8.600000000000023,3829.6,780.2
L,302.2,311.6,1462,50.0,51,9.400000000000034,7655.0,2550.0
L,297.3,308.2,1446,53.5,7,10.899999999999977,8101.2,374.5
L,298.7,310.1,1620,34.8,112,11.400000000000034,5903.7,3897.5999999999995
M,301.4,310.8,1738,30.3,104,9.400000000000034,5514.7,3151.2000000000003
L,301.9,311.0,1642,33.1,126,9.100000000000023,5691.5,4170.6
L,297.5,308.6,1585,37.6,2,11.100000000000023,6240.9,75.2
L,300.0,311.5,1666,32.0,128,11.5,5582.8,4096.0
L,303.4,311.6,1449,41.7,132,8.200000000000045,6327.5,5504.400000000001
L,298.5,310.2,1676,32.7,18,11.699999999999989,5739.2,588.6
M,301.5,310.7,1510,36.0,64,9.199999999999989,5692.6,2304.0
M,298.0,307.5,1427,43.6,101,9.5,6515.4,4403.6
L,302.7,310.9,1395,48.3,80,8.199999999999989,7055.9,3864.0
M,298.8,309.7,1480,38.1,157,10.899999999999977,5904.9,5981.7
H,302.3,311.6,1441,53.9,74,9.300000000000011,8133.6,3988.6
L,299.8,309.4,1408,45.6,156,9.599999999999966,6723.5,7113.6
L,303.8,313.0,1499,42.3,38,9.199999999999989,6640.0,1607.3999999999999
L,298.9,308.2,1510,43.5,46,9.300000000000011,6878.5,2001.0
L,299.4,310.4,1582,31.7,181,11.0,5251.6,5737.7
L,297.6,309.1,1503,38.9,157,11.5,6122.6,6107.3
M,298.3,309.1,1296,58.7,201,10.800000000000011,7966.6,11798.7
L,296.6,307.5,1582,37.9,197,10.899999999999977,6278.8,7466.299999999999
H,302.7,312.1,1478,36.0,191,9.400000000000034,5571.9,6876.0
L,300.4,310.5,1818,25.1,14,10.100000000000023,4778.6,351.40000000000003
M,300.3,309.9,1447,46.5,28,9.599999999999966,7046.1,1302.0
M,301.7,311.2,1413,42.6,79,9.5,6303.5,3365.4
M,297.7,308.1,2189,15.6,186,10.400000000000034,3576.0,2901.6
L,297.5,308.6,1694,27.1,36,11.100000000000023,4807.4,975.6
L,298.9,308.6,1560,32.2,118,9.700000000000045,5260.3,3799.6000000000004
M,304.2,313.2,1396,50.5,11,9.0,7382.5,555.5
L,302.3,310.1,1388,49.9,48,7.800000000000011,7253.0,2395.2
L,299.0,310.1,1447,42.8,104,11.100000000000023,6485.5,4451.2
M,296.2,307.0,2119,18.3,159,10.800000000000011,4060.8,2909.7000000000003
L,297.3,308.6,1358,47.6,110,11.300000000000011,6769.2,5236.0
M,300.1,310.3,1345,57.1,71,10.199999999999989,8042.4,4054.1
L,299.5,310.0,1502,38.5,52,10.5,6055.6,2002.0
M,297.6,309.7,1541,33.7,165,12.099999999999966,5438.3,5560.500000000001
M,300.2,310.4,1202,61.7,74,10.199999999999989,7766.4,4565.8
M,300.8,311.4,1521,39.9,15,10.599999999999966,6355.2,598.5
L,303.6,312.4,1388,41.9,221,8.799999999999955,6090.2,9259.9
L,300.4,309.7,1685,31.3,152,9.300000000000011,5523.0,4757.6
L,298.4,310.1,1455,42.2,94,11.700000000000045,6429.9,3966.8
L,303.7,312.4,1316,59.3,137,8.699999999999989,8172.2,8124.099999999999
M,302.2,311.2,1471,41.9,166,9.0,6454.4,6955.4
L,301.6,309.9,1397,43.7,102,8.299999999999955,6393.0,4457.400000000001
M,298.3,307.7,1717,27.1,7,9.399999999999977,4872.7,189.70000000000002
H,300.7,310.2,1479,52.3,9,9.5,8100.3,470.7
H,297.6,309.6,1419,48.2,215,12.0,7162.4,10363.0
M,300.2,311.6,1513,40.8,157,11.400000000000034,6464.4,6405.599999999999
M,299.9,309.4,1889,26.0,6,9.5,5143.2,156.0
L,297.4,308.8,1529,41.3,165,11.400000000000034,6612.8,6814.499999999999
L,298.8,308.7,1635,35.2,47,9.899999999999977,6026.8,1654.4
H,297.1,308.2,1527,42.2,199,11.099999999999966,6748.1,8397.800000000001
M,301.8,309.6,1436,49.0,214,7.800000000000011,7368.5,10486.0
M,296.1,307.2,1619,29.7,17,11.099999999999966,5035.4,504.9
H,301.2,310.7,1656,26.2,64,9.5,4543.5,1676.8
M,298.1,308.8,2206,16.3,195,10.699999999999989,3765.5,3178.5
L,298.8,308.6,1593,35.5,175,9.800000000000011,5922.1,6212.5
M,302.5,310.2,1751,30.5,90,7.699999999999989,5592.6,2745.0
L,295.5,306.2,1448,48.9,65,10.699999999999989,7414.9,3178.5
L,297.3,308.5,1545,34.3,74,11.199999999999989,5549.5,2538.2
L,299.2,308.5,1378,53.4,100,9.300000000000011,7705.8,5340.0
L,298.3,309.7,1484,44.3,173,11.399999999999977,6884.4,7663.9
L,303.9,313.2,1590,31.9,5,9.300000000000011,5311.5,159.5
H,298.9,310.6,1519,38.8,213,11.700000000000045,6171.9,8264.4
L,298.9,310.1,1466,42.5,187,11.200000000000045,6524.6,7947.5
L,300.9,310.3,1321,48.8,150,9.400000000000034,6750.7,7320.0
L,299.9,310.4,1419,45.7,178,10.5,6790.9,8134.6
L,300.3,311.0,1613,34.7,142,10.699999999999989,5861.3,4927.400000000001
L,297.9,309.0,1450,46.8,118,11.100000000000023,7106.3,5522.4
L,299.1,308.3,1533,42.4,48,9.199999999999989,6806.7,2035.1999999999998
L,300.9,310.8,1482,37.0,5,9.900000000000034,5742.2,185.0
M,298.8,308.6,1571,33.7,61,9.800000000000011,5544.1,2055.7000000000003
L,302.8,310.6,1617,37.9,207,7.800000000000011,6417.7,7845.299999999999
H,300.6,310.5,1454,51.2,58,9.899999999999977,7795.8,2969.6000000000004
M,299.0,308.8,1418,45.7,204,9.800000000000011,6786.1,9322.800000000001
M,300.8,310.5,1696,29.7,162,9.699999999999989,5274.9,4811.4
M,303.4,311.4,1606,29.6,122,8.0,4978.1,3611.2000000000003
M,298.9,310.1,1484,37.9,73,11.200000000000045,5889.8,2766.7
M,297.3,308.8,1548,41.3,140,11.5,6695.0,5782.0
L,297.9,307.8,1538,38.5,123,9.900000000000034,6200.8,4735.5
L,300.9,310.9,1995,20.2,105,10.0,4220.1,2121.0
L,302.3,311.5,1543,33.1,39,9.199999999999989,5348.4,1290.9
L,302.3,311.8,1605,35.2,152,9.5,5916.2,5350.400000000001
L,298.9,308.7,1433,44.7,108,9.800000000000011,6707.8,4827.6
M,299.6,309.4,1605,29.8,142,9.799999999999955,5008.6,4231.6
M,300.4,309.2,1528,37.2,228,8.800000000000011,5952.4,8481.6
L,300.9,309.6,1384,42.4,131,8.700000000000045,6145.1,5554.4
L,299.7,309.2,1631,35.1,177,9.5,5995.0,6212.7
M,296.7,307.8,1286,60.5,0,11.100000000000023,8147.5,0.0
L,301.1,311.4,1531,38.7,55,10.299999999999955,6204.6,2128.5
M,302.3,311.1,1295,57.1,146,8.800000000000011,7743.4,8336.6
M,300.4,312.0,1596,30.4,191,11.600000000000023,5080.8,5806.4
L,298.2,308.4,1379,43.1,65,10.199999999999989,6224.0,2801.5
M,298.0,308.5,1585,33.0,24,10.5,5477.4,792.0
H,297.7,307.3,1249,62.8,47,9.600000000000023,8213.9,2951.6
L,301.4,311.1,1472,44.5,159,9.700000000000045,6859.6,7075.5
L,300.2,310.2,1378,43.9,193,10.0,6334.9,8472.699999999999
M,297.4,308.0,1440,42.4,190,10.600000000000023,6393.8,8056.0
H,300.5,311.6,1506,36.2,10,11.100000000000023,5709.0,362.0
L,300.0,310.4,1505,44.9,133,10.399999999999977,7076.4,5971.7
M,297.3,308.3,1341,51.9,51,11.0,7288.3,2646.9
L,302.4,311.4,1450,44.1,56,9.0,6696.3,2469.6
L,298.5,309.2,1983,20.2,114,10.699999999999989,4194.7,2302.7999999999997
M,298.7,309.8,1435,48.8,71,11.100000000000023,7333.3,3464.7999999999997
M,301.9,311.1,1605,40.0,179,9.200000000000045,6723.0,7160.0
H,297.9,308.9,1416,39.6,45,11.0,5872.0,1782.0
M,302.3,311.7,1486,39.6,147,9.399999999999977,6162.3,5821.2
L,300.2,310.2,1415,49.6,21,10.0,7349.7,1041.6000000000001
M,301.4,311.0,1486,36.5,91,9.600000000000023,5679.9,3321.5
L,298.2,308.9,1332,44.4,100,10.699999999999989,6193.2,4440.0
L,302.2,311.6,1658,31.4,89,9.400000000000034,5451.8,2794.6
L,300.8,311.8,1928,21.8,209,11.0,4401.4,4556.2
L,298.6,309.6,1423,42.7,82,11.0,6363.0,3501.4
H,301.0,311.3,1597,39.2,66,10.300000000000011,6555.7,2587.2000000000003
M,302.1,311.5,1635,31.6,23,9.399999999999977,5410.5,726.8000000000001
L,298.5,309.3,1471,44.7,119,10.800000000000011,6885.7,5319.3
L,297.4,308.8,1473,46.2,167,11.400000000000034,7126.5,7715.400000000001
L,300.6,310.3,1414,50.6,25,9.699999999999989,7492.5,1265.0
L,299.0,308.6,1466,46.4,112,9.600000000000023,7123.3,5196.8
L,299.8,309.7,1429,42.6,127,9.899999999999977,6374.9,5410.2
M,300.8,310.9,1522,46.2,56,10.099999999999966,7363.5,2587.2000000000003
L,297.9,308.5,1472,45.1,70,10.600000000000023,6952.1,3157.0
M,300.7,310.9,1369,51.2,63,10.199999999999989,7340.1,3225.6000000000004
M,301.0,310.9,1510,44.5,66,9.899999999999977,7036.6,2937.0
L,304.1,313.3,1415,50.0,184,9.199999999999989,7408.9,9200.0
L,302.0,309.8,1532,39.4,2,7.800000000000011,6321.0,78.8
L,303.5,313.0,1322,59.5,71,9.5,8237.2,4224.5
L,298.8,310.1,1607,39.5,105,11.300000000000011,6647.2,4147.5
L,300.2,309.8,1650,29.6,13,9.600000000000023,5114.5,384.8
M,304.3,313.3,1540,39.0,14,9.0,6289.5,546.0
M,300.1,311.3,1748,26.6,42,11.199999999999989,4869.1,1117.2
M,300.9,311.0,1556,38.8,127,10.100000000000023,6322.2,4927.599999999999
L,302.0,310.5,1809,27.1,175,8.5,5133.8,4742.5
L,302.4,310.9,1560,31.8,172,8.5,5194.9,5469.6
L,298.9,308.6,1400,49.5,79,9.700000000000045,7257.1,3910.5
L,301.0,312.2,1601,33.0,109,11.199999999999989,5532.7,3597.0
L,300.7,309.3,1580,38.3,102,8.600000000000023,6337.0,3906.6
L,297.4,308.8,1620,33.4,186,11.400000000000034,5666.2,6212.4
M,301.0,312.2,1499,41.5,140,11.199999999999989,6514.5,5810.0
M,299.4,309.1,1326,62.0,142,9.700000000000045,8609.2,8804.0
H,303.6,312.4,1480,50.7,2,8.799999999999955,7857.8,101.4
L,302.0,310.0,1832,22.9,178,8.0,4393.3,4076.2
L,298.4,308.9,1391,48.4,100,10.5,7050.2,4840.0
H,300.7,310.8,1518,40.1,142,10.100000000000023,6374.5,5694.2
L,304.1,313.6,1382,46.7,134,9.5,6758.6,6257.8
L,300.1,309.4,1858,23.6,26,9.299999999999955,4591.8,613.6
M,300.2,309.9,1569,31.2,176,9.699999999999989,5126.3,5491.2
L,300.4,311.7,1373,47.2,3,11.300000000000011,6786.4,141.60000000000002
L,304.0,313.2,1416,46.0,128,9.199999999999989,6821.0,5888.0
L,299.4,308.6,1746,26.8,107,9.200000000000045,4900.1,2867.6
M,298.7,309.1,1423,49.5,200,10.400000000000034,7376.3,9900.0
L,300.6,310.4,2514,13.4,215,9.799999999999955,3527.8,2881.0
L,298.1,308.2,1654,32.1,25,10.099999999999966,5559.9,802.5
L,299.7,310.3,1505,37.7,4,10.600000000000023,5941.6,150.8
L,297.4,308.4,1378,39.9,63,11.0,5757.7,2513.7
L,298.2,308.8,1616,33.7,16,10.600000000000023,5703.0,539.2
H,300.2,311.5,1454,42.8,88,11.300000000000011,6516.8,3766.3999999999996
M,301.6,310.4,1377,44.9,161,8.799999999999955,6474.5,7228.9
L,298.8,308.1,1472,53.5,28,9.300000000000011,8246.9,1498.0
M,301.3,310.8,1418,45.4,59,9.5,6741.6,2678.6
L,300.6,311.7,1507,45.5,74,11.099999999999966,7180.5,3367.0
M,301.2,310.1,1558,32.6,34,8.900000000000034,5318.8,1108.4
L,298.0,308.8,1496,44.9,179,10.800000000000011,7034.1,8037.099999999999
L,298.9,310.0,2231,17.4,151,11.100000000000023,4065.2,2627.3999999999996
H,302.4,312.0,1457,43.4,23,9.600000000000023,6621.8,998.1999999999999
M,301.8,311.0,1756,26.7,33,9.199999999999989,4909.8,881.1
M,303.6,312.5,1607,33.7,14,8.899999999999977,5671.2,471.80000000000007
M,302.0,310.9,1352,55.5,59,8.899999999999977,7857.8,3274.5
L,298.1,307.7,1767,27.0,127,9.599999999999966,4996.1,3429.0
L,301.6,310.5,1809,25.5,40,8.899999999999977,4830.7,1020.0
L,302.3,311.5,1395,54.2,198,9.199999999999989,7917.8,10731.6
H,298.9,310.1,1366,62.7,161,11.200000000000045,8969.1,10094.7
M,302.6,312.0,1363,45.7,91,9.399999999999977,6522.9,4158.7
M,299.5,309.2,1497,40.9,169,9.699999999999989,6411.7,6912.099999999999
M,302.3,311.4,1484,39.5,22,9.099999999999966,6138.5,869.0
L,299.3,310.7,1495,39.2,144,11.399999999999977,6137.0,5644.8
L,300.2,311.5,1383,42.1,60,11.300000000000011,6097.2,2526.0
L,300.3,310.5,1522,39.1,217,10.199999999999989,6231.9,8484.7
H,300.3,309.7,1582,30.8,144,9.399999999999977,5102.5,4435.2
M,304.0,313.1,1466,39.5,83,9.100000000000023,6064.0,3278.5
M,300.4,309.8,1725,30.4,195,9.400000000000034,5491.5,5928.0
L,302.4,310.1,1645,31.6,93,7.7000000000000455,5443.5,2938.8
L,302.5,310.4,1427,46.8,179,7.899999999999977,6993.6,8377.199999999999
L,301.9,311.2,1657,29.1,23,9.300000000000011,5049.5,669.3000000000001
M,298.9,310.0,1561,45.3,58,11.100000000000023,7405.1,2627.3999999999996
M,298.8,310.0,1486,38.5,55,11.199999999999989,5991.1,2117.5
L,300.3,309.6,1326,52.4,57,9.300000000000011,7276.2,2986.7999999999997
M,297.7,309.4,1461,43.7,142,11.699999999999989,6685.9,6205.400000000001
L,302.6,310.4,1415,52.1,12,7.7999999999999545,7720.1,625.2
